City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Charters Towers,AU,-20.1,146.2667,89.47,32,2,2.93,clear sky
232,Zhigansk,RU,66.7697,123.3711,17.53,93,100,3.02,overcast clouds
233,Sioux Lookout,CA,50.1001,-91.917,47.86,81,3,4.38,clear sky
234,Anadyr,RU,64.75,177.4833,19.9,79,20,11.01,few clouds
235,Leningradskiy,RU,69.3833,178.4167,22.93,95,100,5.14,overcast clouds
236,Sao Felix Do Xingu,BR,-6.6447,-51.995,77.74,76,42,0.67,scattered clouds
237,Ulladulla,AU,-35.35,150.4667,62.1,71,100,5.19,overcast clouds
238,Borogontsy,RU,62.6683,131.1683,24.04,76,83,6.04,broken clouds
239,Oktyabrskiy,RU,54.4815,53.471,43.0,76,6,4.34,clear sky
240,Susehri,TR,40.1644,38.0867,57.81,41,100,4.32,overcast clouds
241,Kiknur,RU,57.3034,47.2011,41.02,72,100,7.45,overcast clouds
242,Nioro,GM,13.35,-15.75,77.05,78,100,4.85,overcast clouds
243,Muros,ES,42.7762,-9.0603,65.23,59,0,6.82,clear sky
244,Celestun,MX,20.8667,-90.4,81.3,76,0,14.83,clear sky
245,Saint Anthony,US,45.0205,-93.218,62.65,82,90,0.0,overcast clouds
246,Palmer,US,42.1584,-72.3287,62.22,84,20,0.0,fog
247,Urusha,RU,54.05,122.9,32.45,80,100,10.63,overcast clouds
248,Lingao,CN,19.9103,109.6859,72.0,86,100,36.24,overcast clouds
249,Longuenesse,FR,50.734,2.2352,51.48,79,12,2.68,few clouds
250,Lagoa,PT,39.05,-27.9833,69.15,72,100,7.61,overcast clouds
251,Cabra,ES,37.4725,-4.4421,68.4,74,33,3.89,scattered clouds
252,Avera,US,33.194,-82.5271,69.31,75,3,3.94,clear sky
253,Umea,SE,63.8284,20.2597,34.92,93,0,6.91,clear sky
254,Matara,LK,5.9485,80.5353,79.39,84,100,11.25,overcast clouds
255,Namibe,AO,-15.1961,12.1522,67.98,89,3,4.45,clear sky
256,Bubaque,GW,11.2833,-15.8333,82.99,73,100,5.46,overcast clouds
257,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.92,78,61,9.71,broken clouds
258,Bowen,AU,-20.0167,148.2333,81.39,66,0,14.81,clear sky
259,Santa Maria,BR,-29.6842,-53.8069,63.18,85,6,2.86,clear sky
260,Kenai,US,60.5544,-151.2583,48.15,68,1,0.0,clear sky
261,Portland,US,45.5234,-122.6762,54.21,79,90,1.99,overcast clouds
262,Aktas,KZ,49.7789,72.9608,20.95,53,8,5.93,clear sky
263,Yuni,PH,13.4192,122.4833,79.7,88,100,12.97,light rain
264,Toora-Khem,RU,52.4675,96.11,29.57,84,100,4.38,overcast clouds
265,Shestakovo,RU,56.4915,103.96,26.56,48,100,3.38,overcast clouds
266,Kavieng,PG,-2.5744,150.7967,85.8,68,21,13.27,few clouds
267,Katangli,RU,51.7102,143.2326,53.19,62,100,16.33,overcast clouds
268,Goderich,CA,43.7501,-81.7165,65.91,85,87,14.81,overcast clouds
269,Narasapur,IN,16.45,81.6667,77.72,87,100,3.98,moderate rain
270,Coquimbo,CL,-29.9533,-71.3436,56.93,76,75,6.91,broken clouds
271,Mana,GF,5.6592,-53.7767,79.88,85,100,7.47,overcast clouds
272,Saint-Joseph,RE,-21.3667,55.6167,71.98,89,55,5.91,broken clouds
273,Caravelas,BR,-17.7125,-39.2481,71.13,87,98,6.29,overcast clouds
274,Dakar,SN,14.6937,-17.4441,76.08,70,2,13.56,clear sky
275,Kobelyaky,UA,49.1489,34.1965,54.3,77,95,4.5,overcast clouds
276,Balclutha,NZ,-46.2339,169.75,46.51,65,100,7.11,overcast clouds
277,Sargatskoye,RU,55.6101,73.4972,37.98,100,100,5.48,overcast clouds
278,Ferry Pass,US,30.5102,-87.2125,77.65,88,1,0.0,clear sky
279,Lata,PT,40.1629,-8.3327,61.03,56,0,3.91,clear sky
280,Plettenberg Bay,ZA,-34.0527,23.3716,59.14,66,100,1.88,overcast clouds
281,Brooks,CA,50.5834,-111.8851,42.04,42,0,11.1,clear sky
282,Oudtshoorn,ZA,-33.5907,22.2014,52.16,44,100,1.79,overcast clouds
283,Teluk Nibung,ID,3.001,99.8164,80.74,78,100,2.62,overcast clouds
284,Havre-Saint-Pierre,CA,50.2334,-63.5986,52.18,95,100,8.88,overcast clouds
285,Valdez,EC,1.2492,-78.9831,77.4,82,99,9.84,overcast clouds
286,Maputo,MZ,-25.9653,32.5892,64.22,88,4,6.82,clear sky
287,Korem,ET,12.5058,39.5228,54.07,77,100,1.7,overcast clouds
288,Tual,ID,-5.6667,132.75,83.17,75,47,1.81,scattered clouds
289,Hohhot,CN,40.8106,111.6522,49.39,84,100,6.6,light rain
290,Dawlatabad,AF,36.4141,64.9053,47.12,39,0,0.29,clear sky
291,Peniche,PT,39.3558,-9.3811,72.09,67,0,8.43,clear sky
292,Ojinaga,MX,29.5667,-104.4167,88.75,29,40,18.41,scattered clouds
293,Lahaina,US,20.8783,-156.6825,84.2,90,60,13.06,broken clouds
294,Cap Malheureux,MU,-19.9842,57.6142,71.47,88,10,1.99,clear sky
